ID,Do you like cats?,Do you like dogs?,"If you were stranded on a desert island, what is the one item you want to have with you?","If you were to create a slogan for your life, what would the slogan be? (Examples: ""Eat, drink, and be merry, for tomorrow, we all die."" ""Bite off more than you can chew."" ""There are far better things ahead than any we leave behind."")",What is your favorite day of the week?,"Are you a lark, an owl, or a hummingbird?",What is your favorite food?,What is your favorite drink?,What is your favorite season?,What is your favorite Month?,What is one hobby that you enjoy?,What is your degree program?,What is your primary specialization?,What is your primary statistical software?,"What is your level of R experience (1=None, 5=Advanced)?",How comfortable are you with coding?,How long have you been coding (in years or months)?,What are three things you hope to learn in this course?,"What is your major public health area of interest (e.g. cancer, heart disease, maternal child health, disparities, etc.)?",What is your favorite number?,What is your birth day (e.g. October 28-report 28)?,What is your birth month (e.g. October 28-report 10)?,What is your home country?,What is your home state?,What is your home city?,What is your highest education level?
24,Ambivalent,Yes,Sandboard,Trust the process.,Friday,Hummingbird (I am neither a lark nor an owl),A well-executed power bowl,Hazy IPAs,Fall,October,Snowboarding,MPH only,Epidemiology/Biostatistics,R,4,4,9 months to <1 year,"Advanced data visualization, covariate selection, appropriate handling of missing data",Substance use,28,29,6,United States,Alaska,Anchorage,Bachelor's degree
25,Yes,Yes,Brita pitcher ,,Saturday,Lark ( I am a morning person),Kimchi fried rice ,Coffee,Fall,May,Knitting,MPH/MSP,Epidemiology/Biostatistics,R,4,4,>=2 years,Improve on: writing code; understanding and interpretation of statistical methods; and communication/visualization of results ,Disparities,44,30,5,US,Texas,San Antonio,Bachelor's degree
26,Yes,Yes,dogs,,Friday,Owl (I am a night person),BBQ,Milktea,Fall,October,Roadtrip,MPH only,Epidemiology/Biostatistics,SAS,3,4,1 to <2 years,1. Advanced statistical solutions for medical real-world data 2.familiar with R language 3.how does the industry dealing with real-world data. ,Cancer/efficacy of drugs ,11,28,1,China,Beijing,Beijing,Bachelor's degree
27,Ambivalent,Yes,Water,Live and let live,Saturday,Owl (I am a night person),Fufu with palm nut soup,Water,Summer,June,Cooking ,MPH only,Epidemiology/Biostatistics,SPSS,4,4,6 to <9 months,"Learn more principles and basis for models in statistical analysis.
Get to apply some or most of this knowledge to real-world problems and data.
Learn how this course builds on basic principles of public health.","Heart disease, maternal and child health, disparities ",25,11,6,Ghana,Accra,Accra,Master's degree
28,No,Ambivalent,water filter,"""Enjoy the ride.""",Friday,Hummingbird (I am neither a lark nor an owl),cheese,sparkling water,Spring,May,hiking,MPH only,Epidemiology/Biostatistics,SPSS,2,2,3 to <6 months,"improve R coding skills, more advanced statistical models (beyond linear/logistic regression), data visualization techniques",infectious disease,3.14,1,5,United States,Colorado,Denver,Bachelor's degree
29,Ambivalent,Yes,water,This too shall pass.,Saturday,Hummingbird (I am neither a lark nor an owl),rice,coffee,Fall,February,watching movies,MPH only,Generalist,R,3,3,3 to <6 months,"Coding, data analysis, effective communication ",infectious diseases,8,8,2,Myanmar,Yangon,Yangon,Bachelor's degree
30,No,No,water,live each day as if it were your last,Sunday,Hummingbird (I am neither a lark nor an owl),fufu and eru,none,Fall,December,basketball,MPH only,Epidemiology/Biostatistics,R,4,4,6 to <9 months,advanced data analytics,clinical research,0,7,12,Cameroon,NA,Buea,Bachelor's degree
31,Yes,Yes,a good book,the questions we can't answer teach us the most - they teach us how to think,Friday,Owl (I am a night person),nectarines,coffee,Fall,October,cooking,MPH only,Epidemiology/Biostatistics,R,4,4,>=2 years,"a new coding style, cox ph modeling, reproducible code",utilization and access,49,15,7,USA,Wisconsin,Milwaukee,Bachelor's degree
32,Yes,Ambivalent,water,,Thursday,Owl (I am a night person),potato,tea,Fall,October,singing,MPH only,Epidemiology/Biostatistics,SAS,3,4,>=2 years,,cancer,8,5,5,China,Fujian,Fuding,Bachelor's degree
33,Ambivalent,Yes,french press and never ending coffee supply,"""Be fearless in pursuit of what sets your soul on fire""",Tuesday,Lark ( I am a morning person),popcorn,tea,Summer,June,kayaking,MSW/MPH,Epidemiology/Biostatistics,SPSS,2,2,3 to <6 months,"become more comfortable/proficient in R, solidify and expand knowledge from biostats and ALM, and know how to handle unique/specific challenges/problems with data and statistical analyses","gender-based violence/domestic violence, and sexual and reproductive health",12,21,11,United States,Alaska,Anchorage,Bachelor's degree
34,No,Yes,Flint,"Return your cart, be kind to others, and great things will follow! ",Thursday,Lark ( I am a morning person),Breakfast Burrito,Sparkling Water ,Fall,October,Playing volleyball ,MPH only,Epidemiology/Biostatistics,R,2,3,1 to <2 years,"Knowing what statistical test to run, how to interpret findings, and familiarizing myself more code without having to look up basic things  ",Sexual and reproductive health ,15,30,6,United States of America,Colorado,Centennial,Bachelor's degree
35,Yes,Yes,knife,sleeping everyday,Saturday,Owl (I am a night person),rice,bubble tea,Spring,March,watching movies,MPH only,Epidemiology/Biostatistics,R,4,5,1 to <2 years,"interpret results, learning more R packages, learning more predictive model ",breast cancer,14,4,March ,China,Zhejiang,Ningbo,Master's degree
36,Yes,Yes,"Clean Streaming water (not bottle, a river!)",Shoot for the sun  and land on the moon!,Saturday,Lark ( I am a morning person),BBQ,Tej (honey wine),Fall,June,Sitting at the river and reading a book,MPH only,Epidemiology/Biostatistics,SPSS,2,3,3 to <6 months,"Data analysis,
Predictive Modeling and 
R- software 
",Cancer and Heart disease ,7,7,1,Ethiopia,Addis ababa,Addis ababa,Doctoral degree
37,No,Yes,Book ,It's character building ,Saturday,Hummingbird (I am neither a lark nor an owl),Potatoes ,Kombucha ,Spring,August,Lifting weights ,MSW/MPH,Epidemiology/Biostatistics,SPSS,2,3,3 to <6 months,"Re-learn R, data visualization, and general data analysis skills ",Maternal Child Health (Racial equity) ,10,20,8,United States ,Colorado ,Colorado Springs ,Bachelor's degree
38,Yes,Yes,Sunglasses ,Living is a risk,Sunday,Hummingbird (I am neither a lark nor an owl),Eggs,Water,Fall,November,Knitting,MPH only,Generalist,SPSS,3,3,6 to <9 months,Advance my R skills and real world applications of data analysis,LGBTQ+ health,8,1,6,United States,Pennsylvania,Harrisburg,Bachelor's degree
39,Yes,Yes,Lighter ,"Good good study, day day up. ",Friday,Hummingbird (I am neither a lark nor an owl),Durian cake,Unsweetened bobble tea,Spring,June,Sleeping ,MPH only,Epidemiology/Biostatistics,SPSS,1,1,3 to <6 months,"Coding, R and the ability to solve the problems. ",Infectious disease ,9,26,6,China,Hebei,Qinhuangdao,Bachelor's degree
40,Yes,Yes,GPS device,Take things as they come.,Friday,Hummingbird (I am neither a lark nor an owl),Ramen,Boba tea,Summer,June,Traveling,MPH only,Epidemiology/Biostatistics,SAS,1,3,3 to <6 months,"Coding, Reading codes, Data Analysis",Infectious Disease,6,2,6,China,--,SHANGHAI,Bachelor's degree
41,Yes,Yes,Solar powered cell phone,Go get some natural vitamin D; it'll make you feel better,Thursday,Hummingbird (I am neither a lark nor an owl),Burritos,Coffee ,Fall,October,Disc Golf,MPH/MBA,Epidemiology/Biostatistics,R,3,3,>=2 years,"More advanced coding, statistical tests when assumptions are not met, survival analysis ",Health disparities ,7,7,7,USA,IL,Gurnee,Bachelor's degree
42,Yes,Yes,A fishing pole? A really long book?,,Friday,Hummingbird (I am neither a lark nor an owl),Fries or ice cream!,Water... or coffee,Fall,October,Biking,MPH only,Epidemiology/Biostatistics,SPSS,1,1,0 to <3 months,"I hope to learn how to use R and build upon the statistical knowledge gained in biostats and ALM. I also hope to get better at communicating statistical findings in a way that is helpful and understandable to those outside the fields of epidemiology and biostatistics (policy makers, program developers, etc.)",health disparities (broadly),8,30,10,United States,Missouri,St. Louis,Bachelor's degree
